Timestamp,Temperature,Humidity
2025-03-23 17:44:33,29.4,66.0
2025-03-23 17:44:35,29.4,66.0
2025-03-23 17:44:37,29.4,66.0
2025-03-23 17:44:39,29.4,66.0
2025-03-23 17:44:41,29.4,66.0
2025-03-23 17:44:43,29.4,66.0
2025-03-23 17:44:45,29.4,69.0
2025-03-23 17:44:47,30.1,95.0
2025-03-23 17:44:49,33.9,95.0
2025-03-23 17:44:51,34.0,95.0
2025-03-23 17:44:53,33.8,95.0
2025-03-23 17:44:55,33.4,95.0
2025-03-23 17:44:57,33.4,95.0
2025-03-23 17:44:59,33.1,95.0
2025-03-23 17:45:01,33.1,95.0
2025-03-23 17:45:05,32.9,95.0
2025-03-23 17:45:07,32.5,95.0
2025-03-23 17:45:09,32.4,95.0
2025-03-23 17:45:11,32.2,95.0
2025-03-23 17:45:13,32.1,95.0
2025-03-23 17:45:15,31.9,95.0
2025-03-23 17:45:17,31.8,95.0
2025-03-23 17:45:21,31.6,95.0
2025-03-23 17:45:23,31.4,95.0
2025-03-23 17:45:26,31.3,95.0
2025-03-23 17:45:28,31.2,95.0
2025-03-23 17:45:30,31.1,95.0
2025-03-23 17:45:32,31.1,95.0
2025-03-23 17:45:34,31.0,95.0
2025-03-23 17:45:36,31.0,95.0
2025-03-23 17:45:38,30.9,95.0
2025-03-23 17:45:40,30.9,95.0
2025-03-23 17:45:42,30.8,95.0
2025-03-23 17:45:44,30.7,95.0
2025-03-23 17:45:46,30.7,95.0
2025-03-23 17:45:48,30.6,92.0
2025-03-23 17:45:50,30.6,88.0
2025-03-23 17:45:52,30.6,85.0
2025-03-23 17:45:56,30.7,85.0
2025-03-23 17:45:58,30.6,85.0
2025-03-23 17:46:00,30.7,91.0
2025-03-23 17:46:02,30.8,94.0
2025-03-23 17:46:10,31.4,95.0
2025-03-23 17:46:12,31.1,89.0
2025-03-23 17:46:14,31.2,84.0
2025-03-23 17:46:16,31.2,80.0
2025-03-23 17:46:18,31.1,77.0
2025-03-23 17:46:20,31.1,76.0
2025-03-23 17:46:22,31.1,75.0
2025-03-23 17:46:24,31.1,74.0
2025-03-23 17:46:27,31.0,73.0
2025-03-23 17:46:29,31.1,73.0
2025-03-23 17:46:31,31.0,73.0
2025-03-23 17:46:33,31.0,72.0
2025-03-23 17:46:35,31.0,72.0
2025-03-23 17:46:37,30.9,70.0
